system:index,estado_code,estado_name,month,poblacion_afectada,year,.geo
2_000200000000000000b1,2055,Tamaulipas,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b2,2056,Tlaxcala,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b3,2057,Veracruz,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b4,2058,Yucatan,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b5,2059,Zacatecas,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b8,2050,Quintana Roo,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b9,2052,Sinaloa,3.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000098,2028,Aguascalientes,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000099,2029,Baja California,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009a,2030,Baja California Sur,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009b,2031,Campeche,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009c,2032,Chiapas,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009d,2033,Chihuahua,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009e,2034,Coahuila,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009f,2035,Colima,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a0,2036,Distrito Federal,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a1,2037,Durango,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a2,2038,Guanajuato,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a3,2039,Guerrero,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a4,2040,Hidalgo,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a5,2041,Jalisco,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a6,2042,Mexico,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a7,2043,Michoacan,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a8,2044,Morelos,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a9,2045,Nayarit,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000aa,2046,Nuevo Leon,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ab,2047,Oaxaca,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ac,2048,Puebla,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ad,2049,Queretaro,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ae,2051,San Luis Potosi,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000af,2053,Sonora,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b0,2054,Tabasco,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b1,2055,Tamaulipas,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b2,2056,Tlaxcala,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b3,2057,Veracruz,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b4,2058,Yucatan,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b5,2059,Zacatecas,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000001b8,2050,Quintana Roo,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000001b9,2052,Sinaloa,4.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00020000000000000098,2028,Aguascalientes,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00020000000000000099,2029,Baja California,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009a,2030,Baja California Sur,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009b,2031,Campeche,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009c,2032,Chiapas,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009d,2033,Chihuahua,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009e,2034,Coahuila,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009f,2035,Colima,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a0,2036,Distrito Federal,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a1,2037,Durango,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a2,2038,Guanajuato,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a3,2039,Guerrero,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a4,2040,Hidalgo,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a5,2041,Jalisco,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a6,2042,Mexico,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a7,2043,Michoacan,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a8,2044,Morelos,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a9,2045,Nayarit,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000aa,2046,Nuevo Leon,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ab,2047,Oaxaca,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ac,2048,Puebla,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ad,2049,Queretaro,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ae,2051,San Luis Potosi,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000af,2053,Sonora,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b0,2054,Tabasco,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b1,2055,Tamaulipas,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b2,2056,Tlaxcala,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b3,2057,Veracruz,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b4,2058,Yucatan,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b5,2059,Zacatecas,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000300000000000001b8,2050,Quintana Roo,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000300000000000001b9,2052,Sinaloa,5.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00020000000000000098,2028,Aguascalientes,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00020000000000000099,2029,Baja California,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009a,2030,Baja California Sur,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009b,2031,Campeche,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009c,2032,Chiapas,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009d,2033,Chihuahua,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009e,2034,Coahuila,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009f,2035,Colima,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a0,2036,Distrito Federal,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a1,2037,Durango,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a2,2038,Guanajuato,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a3,2039,Guerrero,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a4,2040,Hidalgo,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a5,2041,Jalisco,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a6,2042,Mexico,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a7,2043,Michoacan,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a8,2044,Morelos,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a9,2045,Nayarit,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000aa,2046,Nuevo Leon,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ab,2047,Oaxaca,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ac,2048,Puebla,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ad,2049,Queretaro,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ae,2051,San Luis Potosi,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000af,2053,Sonora,6.0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
